RNDF_name	rndf_280both-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	23
lane	1.1
num_waypoints	259
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.1.163	37.4092000	-122.1946973
1.1.164	37.4092584	-122.1948806
1.1.165	37.4093183	-122.1950680
1.1.166	37.4093783	-122.1952574
1.1.167	37.4094387	-122.1954492
1.1.168	37.4094990	-122.1956405
1.1.169	37.4095614	-122.1958363
1.1.170	37.4096241	-122.1960342
1.1.171	37.4096860	-122.1962308
1.1.172	37.4097495	-122.1964293
1.1.173	37.4098129	-122.1966267
1.1.174	37.4098747	-122.1968215
1.1.175	37.4099375	-122.1970189
1.1.176	37.4099999	-122.1972165
1.1.177	37.4100618	-122.1974113
1.1.178	37.4101252	-122.1976087
1.1.179	37.4101877	-122.1978064
1.1.180	37.4102495	-122.1980014
1.1.181	37.4103124	-122.1981993
1.1.182	37.4103771	-122.1983974
1.1.183	37.4104499	-122.1986241
1.1.184	37.4105238	-122.1988457
1.1.185	37.4105820	-122.1990303
1.1.186	37.4106423	-122.1992204
1.1.187	37.4107061	-122.1994167
1.1.188	37.4107655	-122.1996029
1.1.189	37.4108270	-122.1997950
1.1.190	37.4108780	-122.1999493
1.1.191	37.4109384	-122.2001388
1.1.192	37.4110015	-122.2003387
1.1.193	37.4110622	-122.2005349
1.1.194	37.4111238	-122.2007255
1.1.195	37.4111847	-122.2009215
1.1.196	37.4112452	-122.2011151
1.1.197	37.4113074	-122.2013121
1.1.198	37.4113719	-122.2015142
1.1.199	37.4114359	-122.2017148
1.1.200	37.4115012	-122.2019194
1.1.201	37.4115686	-122.2021293
1.1.202	37.4116348	-122.2023371
1.1.203	37.4117024	-122.2025492
1.1.204	37.4117719	-122.2027666
1.1.205	37.4118401	-122.2029814
1.1.206	37.4119096	-122.2032001
1.1.207	37.4119985	-122.2034792
1.1.208	37.4120706	-122.2037048
1.1.209	37.4121415	-122.2039283
1.1.210	37.4122138	-122.2041564
1.1.211	37.4122966	-122.2044175
1.1.212	37.4123699	-122.2046493
1.1.213	37.4124447	-122.2048829
1.1.214	37.4125205	-122.2051195
1.1.215	37.4125961	-122.2053562
1.1.216	37.4126722	-122.2055930
1.1.217	37.4127469	-122.2058314
1.1.218	37.4128219	-122.2060632
1.1.219	37.4128579	-122.2061731
1.1.220	37.4129328	-122.2063977
1.1.221	37.4130096	-122.2066182
1.1.222	37.4130886	-122.2068311
1.1.223	37.4131718	-122.2070403
1.1.224	37.4132561	-122.2072374
1.1.225	37.4133431	-122.2074294
1.1.226	37.4134349	-122.2076187
1.1.227	37.4135272	-122.2077989
1.1.228	37.4136232	-122.2079760
1.1.229	37.4137234	-122.2081528
1.1.230	37.4138257	-122.2083237
1.1.231	37.4139326	-122.2084926
1.1.232	37.4140448	-122.2086609
1.1.233	37.4141578	-122.2088210
1.1.234	37.4142738	-122.2089814
1.1.235	37.4143970	-122.2091393
1.1.236	37.4145203	-122.2092898
1.1.237	37.4146475	-122.2094377
1.1.238	37.4147791	-122.2095835
1.1.239	37.4149097	-122.2097219
1.1.240	37.4150428	-122.2098579
1.1.241	37.4151784	-122.2099942
1.1.242	37.4153101	-122.2101265
1.1.243	37.4154438	-122.2102605
1.1.244	37.4155747	-122.2103928
1.1.245	37.4157047	-122.2105240
1.1.246	37.4158371	-122.2106603
1.1.247	37.4159879	-122.2108136
1.1.248	37.4161317	-122.2109587
1.1.249	37.4162594	-122.2110928
1.1.250	37.4163840	-122.2112302
1.1.251	37.4165219	-122.2113866
1.1.252	37.4166303	-122.2115115
1.1.253	37.4167314	-122.2116380
1.1.254	37.4168251	-122.2117642
1.1.255	37.4169268	-122.2119033
1.1.256	37.4170128	-122.2120243
1.1.257	37.4170823	-122.2121256
1.1.258	37.4171687	-122.2122567
1.1.259	37.4172607	-122.2124052
end_lane
lane	1.2
num_waypoints	259
lane_width	12.0000
left_boundary	broken_white
right_boundary	broken_white
1.2.1	37.3918565	-122.1674256
1.2.2	37.3919154	-122.1676257
1.2.3	37.3919739	-122.1678732
1.2.4	37.3920197	-122.1680966
1.2.5	37.3920668	-122.1683276
1.2.6	37.3920977	-122.1685233
1.2.7	37.3921253	-122.1687418
1.2.8	37.3921513	-122.1689674
1.2.9	37.3921691	-122.1691899
1.2.10	37.3921846	-122.1694198
1.2.11	37.3921994	-122.1696528
1.2.12	37.3922121	-122.1698873
1.2.13	37.3922244	-122.1701152
1.2.14	37.3922384	-122.1703420
1.2.15	37.3922524	-122.1705742
1.2.16	37.3922653	-122.1707989
1.2.17	37.3922791	-122.1710236
1.2.18	37.3922941	-122.1712554
1.2.19	37.3923123	-122.1714807
1.2.20	37.3923348	-122.1717059
1.2.21	37.3923624	-122.1719378
1.2.22	37.3923943	-122.1721623
1.2.23	37.3924312	-122.1723860
1.2.24	37.3924741	-122.1726153
1.2.25	37.3925210	-122.1728368
1.2.26	37.3925729	-122.1730561
1.2.27	37.3926365	-122.1732982
1.2.28	37.3926989	-122.1735142
1.2.29	37.3927649	-122.1737239
1.2.30	37.3928369	-122.1739331
1.2.31	37.3929128	-122.1741388
1.2.32	37.3929917	-122.1743408
1.2.33	37.3930766	-122.1745434
1.2.34	37.3931646	-122.1747383
1.2.35	37.3932571	-122.1749300
1.2.36	37.3933571	-122.1751236
1.2.37	37.3934574	-122.1753087
1.2.38	37.3935622	-122.1754902
1.2.39	37.3936743	-122.1756731
1.2.40	37.3937864	-122.1758474
1.2.41	37.3939021	-122.1760181
1.2.42	37.3940244	-122.1761900
1.2.43	37.3941471	-122.1763519
1.2.44	37.3942752	-122.1765081
1.2.45	37.3944065	-122.1766622
1.2.46	37.3945376	-122.1768080
1.2.47	37.3946716	-122.1769465
1.2.48	37.3948084	-122.1770878
1.2.49	37.3949450	-122.1772241
1.2.50	37.3950842	-122.1773595
1.2.51	37.3952260	-122.1774981
1.2.52	37.3953654	-122.1776352
1.2.53	37.3955090	-122.1777771
1.2.54	37.3956260	-122.1778923
1.2.55	37.3957694	-122.1780340
1.2.56	37.3959131	-122.1781758
1.2.57	37.3960614	-122.1783213
1.2.58	37.3962075	-122.1784660
1.2.59	37.3963554	-122.1786119
1.2.60	37.3965022	-122.1787571
1.2.61	37.3966489	-122.1789023
1.2.62	37.3967969	-122.1790481
1.2.63	37.3969435	-122.1791932
1.2.64	37.3970903	-122.1793381
1.2.65	37.3972384	-122.1794835
1.2.66	37.3973847	-122.1796285
1.2.67	37.3975308	-122.1797728
1.2.68	37.3976789	-122.1799191
1.2.69	37.3978232	-122.1800620
1.2.70	37.3979686	-122.1802060
1.2.71	37.3981166	-122.1803510
1.2.72	37.3982611	-122.1804933
1.2.73	37.3984069	-122.1806364
1.2.74	37.3985545	-122.1807818
1.2.75	37.3986994	-122.1809242
1.2.76	37.3988455	-122.1810674
1.2.77	37.3989934	-122.1812135
1.2.78	37.3991380	-122.1813568
1.2.79	37.3992861	-122.1815029
1.2.80	37.3994323	-122.1816471
1.2.81	37.3995778	-122.1817899
1.2.82	37.3997266	-122.1819357
1.2.83	37.3998730	-122.1820796
1.2.84	37.4000182	-122.1822227
1.2.85	37.4001666	-122.1823689
1.2.86	37.4003122	-122.1825140
1.2.87	37.4004566	-122.1826580
1.2.88	37.4006039	-122.1828054
1.2.89	37.4007486	-122.1829507
1.2.90	37.4008916	-122.1830951
1.2.91	37.4010375	-122.1832428
1.2.92	37.4011812	-122.1833879
1.2.93	37.4013231	-122.1835313
1.2.94	37.4014677	-122.1836782
1.2.95	37.4016098	-122.1838225
1.2.96	37.4017502	-122.1839653
1.2.97	37.4018933	-122.1841110
1.2.98	37.4020338	-122.1842542
1.2.99	37.4021752	-122.1843981
1.2.100	37.4023372	-122.1845628
1.2.101	37.4024766	-122.1847044
1.2.102	37.4026178	-122.1848473
1.2.103	37.4027553	-122.1849873
1.2.104	37.4028936	-122.1851276
1.2.105	37.4030336	-122.1852697
1.2.106	37.4031700	-122.1854082
1.2.107	37.4033071	-122.1855474
1.2.108	37.4034462	-122.1856882
1.2.109	37.4035818	-122.1858255
1.2.110	37.4037180	-122.1859642
1.2.111	37.4038563	-122.1861047
1.2.112	37.4039914	-122.1862426
1.2.113	37.4041281	-122.1863816
1.2.114	37.4042674	-122.1865227
1.2.115	37.4044037	-122.1866608
1.2.116	37.4045434	-122.1868025
1.2.117	37.4046810	-122.1869425
1.2.118	37.4048179	-122.1870822
1.2.119	37.4049584	-122.1872251
1.2.120	37.4050972	-122.1873660
1.2.121	37.4052352	-122.1875062
1.2.122	37.4053766	-122.1876504
1.2.123	37.4055165	-122.1877921
1.2.124	37.4056553	-122.1879333
1.2.125	37.4057975	-122.1880778
1.2.126	37.4059373	-122.1882212
1.2.127	37.4060758	-122.1883646
1.2.128	37.4062170	-122.1885115
1.2.129	37.4063540	-122.1886583
1.2.130	37.4064866	-122.1888068
1.2.131	37.4066190	-122.1889599
1.2.132	37.4067440	-122.1891151
